question_id,question_text,keypoint_id,keypoint_name
15,"(ii) A function called reverse uses a stack called theStack to reverse data that is passed in as a parameter called name. For example, the name “Jack” would be returned as “kcaJ” by the function. theStack uses these operations which are already defined as global scope in the program: • push() – This will add data that is passed in as a parameter to the stack. • pop() – This will remove and return the item on top of the stack. Write the function reverse so that it: • accepts the name as a parameter • uses push() to add each character in the name to theStack separately • uses pop() to return each character from theStack and add it to a variable called reverseName • outputs the variable reverseName once all characters have been popped from theStack. You should write your function using pseudocode or program code. ......................................................................................................................................",476,Principles of recursion.
15,"(ii) A function called reverse uses a stack called theStack to reverse data that is passed in as a parameter called name. For example, the name “Jack” would be returned as “kcaJ” by the function. theStack uses these operations which are already defined as global scope in the program: • push() – This will add data that is passed in as a parameter to the stack. • pop() – This will remove and return the item on top of the stack. Write the function reverse so that it: • accepts the name as a parameter • uses push() to add each character in the name to theStack separately • uses pop() to return each character from theStack and add it to a variable called reverseName • outputs the variable reverseName once all characters have been popped from theStack. You should write your function using pseudocode or program code. ......................................................................................................................................",479,Section 12: Algorithms
16,,392,"CPU components: ALU, Control Unit, Registers."
16,,393,Roles of each component in instruction execution.
16,,394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
16,,395,"Performance metrics: MIPS, FLOPS."
16,,396,"Processor types: CISC, RISC, GPU."
16,,397,Features and applications of each type.
17,Describe what is meant by the term ‘character set’. .............................................................................................................................................. [2],440,Differences and usage of ASCII and Unicode.
18,,392,"CPU components: ALU, Control Unit, Registers."
18,,393,Roles of each component in instruction execution.
18,,394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
18,,395,"Performance metrics: MIPS, FLOPS."
18,,396,"Processor types: CISC, RISC, GPU."
18,,397,Features and applications of each type.
19,(i) Convert the hexadecimal number 66 into a denary number. Show your working. ......................................................................................................................................,439,"Conversion between binary, decimal, and hexadecimal."
20,(ii) State two reasons why a programmer would prefer to use hexadecimal numbers rather than binary numbers. 1 ........................................................................................................................................ 2 ........................................................................................................................................,439,"Conversion between binary, decimal, and hexadecimal."
21,Show the denary value 6.25 as a floating point binary number representing the mantissa and exponent. Both of these should be stored in two’s complement representation. You should use as few bits as possible. Show your working. .............................................................................................................................................. [3],443,Representation of floating-point numbers (mantissa and exponent).
22,State the benefit of using a normalised form when representing data as a floating point number. .............................................................................................................................................. [1],443,Representation of floating-point numbers (mantissa and exponent).
22,State the benefit of using a normalised form when representing data as a floating point number. .............................................................................................................................................. [1],444,Precision issues.
23,OCRConfectionery is a sweet manufacturing company. They want to use a relational database to store details of the orders their customers make.,419,"Fundamental database concepts: tables, records, fields."
23,OCRConfectionery is a sweet manufacturing company. They want to use a relational database to store details of the orders their customers make.,420,Characteristics of relational databases.
23,OCRConfectionery is a sweet manufacturing company. They want to use a relational database to store details of the orders their customers make.,421,Database normalization forms and their roles.
23,OCRConfectionery is a sweet manufacturing company. They want to use a relational database to store details of the orders their customers make.,422,"Basic SQL syntax: data queries, insertions, updates, deletions."
23,OCRConfectionery is a sweet manufacturing company. They want to use a relational database to store details of the orders their customers make.,424,Transactions and their ACID properties.
24,State two benefits of using a relational database instead of a flat file database. 1 ................................................................................................................................................ 2 ................................................................................................................................................ [2],419,"Fundamental database concepts: tables, records, fields."
24,State two benefits of using a relational database instead of a flat file database. 1 ................................................................................................................................................ 2 ................................................................................................................................................ [2],420,Characteristics of relational databases.
25,"One customer can order as many different products as they like in the same order. A customer can also place as many orders as they like. One product can be ordered multiple times in the same order or ordered by multiple different customers. Complete the entity relationship diagram to show the relationships between the Product, Customer and Order entities. [2] Customer Product Order",419,"Fundamental database concepts: tables, records, fields."
25,"One customer can order as many different products as they like in the same order. A customer can also place as many orders as they like. One product can be ordered multiple times in the same order or ordered by multiple different customers. Complete the entity relationship diagram to show the relationships between the Product, Customer and Order entities. [2] Customer Product Order",420,Characteristics of relational databases.
25,"One customer can order as many different products as they like in the same order. A customer can also place as many orders as they like. One product can be ordered multiple times in the same order or ordered by multiple different customers. Complete the entity relationship diagram to show the relationships between the Product, Customer and Order entities. [2] Customer Product Order",421,Database normalization forms and their roles.
25,"One customer can order as many different products as they like in the same order. A customer can also place as many orders as they like. One product can be ordered multiple times in the same order or ordered by multiple different customers. Complete the entity relationship diagram to show the relationships between the Product, Customer and Order entities. [2] Customer Product Order",422,"Basic SQL syntax: data queries, insertions, updates, deletions."
25,"One customer can order as many different products as they like in the same order. A customer can also place as many orders as they like. One product can be ordered multiple times in the same order or ordered by multiple different customers. Complete the entity relationship diagram to show the relationships between the Product, Customer and Order entities. [2] Customer Product Order",424,Transactions and their ACID properties.
26,The order table has these fields. OrderID OrderDate OrderAmount CustomerID ProductID,419,"Fundamental database concepts: tables, records, fields."
26,The order table has these fields. OrderID OrderDate OrderAmount CustomerID ProductID,420,Characteristics of relational databases.
26,The order table has these fields. OrderID OrderDate OrderAmount CustomerID ProductID,421,Database normalization forms and their roles.
26,The order table has these fields. OrderID OrderDate OrderAmount CustomerID ProductID,422,"Basic SQL syntax: data queries, insertions, updates, deletions."
26,The order table has these fields. OrderID OrderDate OrderAmount CustomerID ProductID,424,Transactions and their ACID properties.
27,(i) State the difference between a primary key and a foreign key. ......................................................................................................................................,419,"Fundamental database concepts: tables, records, fields."
27,(i) State the difference between a primary key and a foreign key. ......................................................................................................................................,420,Characteristics of relational databases.
28,(ii) State one foreign key in the order table. ......................................................................................................................................,419,"Fundamental database concepts: tables, records, fields."
29,(iii) State why CustomerID would not make a suitable primary key in the order table. ......................................................................................................................................,419,"Fundamental database concepts: tables, records, fields."
29,(iii) State why CustomerID would not make a suitable primary key in the order table. ......................................................................................................................................,421,Database normalization forms and their roles.
30,Amaya is an amateur photographer and has bought an old second-hand computer to edit her photographs. The specifications of this computer are shown below. Processor: Dual Core 1.8 GHz RAM: 1 GB HDD: 500 GB,394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
30,Amaya is an amateur photographer and has bought an old second-hand computer to edit her photographs. The specifications of this computer are shown below. Processor: Dual Core 1.8 GHz RAM: 1 GB HDD: 500 GB,402,"Types of storage: Primary (RAM, ROM), Secondary (HDD, SSD, optical disks)."
31,State the role of RAM in a computer system. .............................................................................................................................................. [1],402,"Types of storage: Primary (RAM, ROM), Secondary (HDD, SSD, optical disks)."
32,Explain what is meant by the term ‘virtual memory’ and why this may be needed when Amaya is editing her photographs. .............................................................................................................................................. [2],402,"Types of storage: Primary (RAM, ROM), Secondary (HDD, SSD, optical disks)."
32,Explain what is meant by the term ‘virtual memory’ and why this may be needed when Amaya is editing her photographs. .............................................................................................................................................. [2],405,"Main OS functions: memory management, process management, file systems, device management."
33,Zac has an accountancy business. He is moving into an office that has enough space for up to five members of staff. Zac would like to install a Local Area Network (LAN) to allow his staff to work together.,425,Section 5: Networks and Web Technologies
33,Zac has an accountancy business. He is moving into an office that has enough space for up to five members of staff. Zac would like to install a Local Area Network (LAN) to allow his staff to work together.,426,"Internet structure: ISP, NAP, backbone networks."
33,Zac has an accountancy business. He is moving into an office that has enough space for up to five members of staff. Zac would like to install a Local Area Network (LAN) to allow his staff to work together.,427,TCP/IP protocol stack and functions.
33,Zac has an accountancy business. He is moving into an office that has enough space for up to five members of staff. Zac would like to install a Local Area Network (LAN) to allow his staff to work together.,429,"Network security measures: firewalls, intrusion detection systems."
34,,392,"CPU components: ALU, Control Unit, Registers."
34,,393,Roles of each component in instruction execution.
34,,394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
34,,395,"Performance metrics: MIPS, FLOPS."
34,,396,"Processor types: CISC, RISC, GPU."
34,,397,Features and applications of each type.
35,(i) A LAN uses packet switching. Describe one difference between packet switching and circuit switching. ......................................................................................................................................,425,Section 5: Networks and Web Technologies
36,(ii) Explain why packet switching is more suitable for a computer network than circuit switching. ......................................................................................................................................,425,Section 5: Networks and Web Technologies
37,* Zac has hired a company that will advise him on what type of LAN he should set up. Discuss how Zac could set up a peer-to-peer network and a client-server network. You should refer to the following in your answer: • how the computers in each type are connected • the benefits of each type • the drawbacks of each type • the suitability of each type. .............................................................................................................................................. [9] END OF QUESTION PAPER,436,Features and pros/cons of client-server architecture.
37,* Zac has hired a company that will advise him on what type of LAN he should set up. Discuss how Zac could set up a peer-to-peer network and a client-server network. You should refer to the following in your answer: • how the computers in each type are connected • the benefits of each type • the drawbacks of each type • the suitability of each type. .............................................................................................................................................. [9] END OF QUESTION PAPER,437,P2P networks and their applications.
38,A program uses a bubble sort to sort data into ascending numerical order. The data is stored in a 0-indexed 1-dimensional array.,482,Principles and comparison of bubble and insertion sorts.
39,Show each stage of a bubble sort to sort this data into ascending numerical order: 1 5 3 9 2 7 You should clearly show and label each pass in your answer. .............................................................................................................................................. [4],482,Principles and comparison of bubble and insertion sorts.
40,A programmer has partially developed a bubble sort algorithm in pseudocode. This will partially sort an array of numbers called numbers that is passed as a parameter.,482,Principles and comparison of bubble and insertion sorts.
41,(i) Explain why the procedure bubbleSort accepts the array numbers by reference and not by value. ......................................................................................................................................,482,Principles and comparison of bubble and insertion sorts.
42,(ii) The programmer has used a for loop on line 3 in the procedure bubbleSort. A for loop is a count controlled loop. State what is meant by the term ‘count controlled loop’. ......................................................................................................................................,474,"Loop structures (for, while, do-while)."
43,(iii) State the purpose of the variable holdValue in the procedure bubbleSort. ......................................................................................................................................,482,Principles and comparison of bubble and insertion sorts.
44,(iv) The procedure bubbleSort will only partially sort the array numbers into order. Describe what the programmer would need to add to the algorithm to enable it to fully sort the numbers into order. ......................................................................................................................................,482,Principles and comparison of bubble and insertion sorts.
45,,392,"CPU components: ALU, Control Unit, Registers."
45,,393,Roles of each component in instruction execution.
45,,394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
45,,395,"Performance metrics: MIPS, FLOPS."
45,,396,"Processor types: CISC, RISC, GPU."
45,,397,Features and applications of each type.
46,(i) The array numbers contains 356 numbers to be sorted by the bubble sort algorithm. State the maximum number of passes a bubble sort would need to complete to sort 356 numbers into order. ......................................................................................................................................,482,Principles and comparison of bubble and insertion sorts.
47,(ii) State the name of one other sorting algorithm. ......................................................................................................................................,482,Principles and comparison of bubble and insertion sorts.
48,"Taylor is designing a program for a client who would like to simulate earthquakes on major cities around the world in 3D. The client would like to be able to view any stage of an earthquake such as: 1. the build-up of the earthquake 2. the earthquake taking place 3. the aftershocks of the earthquake. The client would also like to be able to play the simulation at different speeds. For example, a slow, normal or fast speed.",447,Definitions and use cases of data structures.
48,"Taylor is designing a program for a client who would like to simulate earthquakes on major cities around the world in 3D. The client would like to be able to view any stage of an earthquake such as: 1. the build-up of the earthquake 2. the earthquake taking place 3. the aftershocks of the earthquake. The client would also like to be able to play the simulation at different speeds. For example, a slow, normal or fast speed.",449,"Characteristics, advantages, and basic operations of linked lists."
48,"Taylor is designing a program for a client who would like to simulate earthquakes on major cities around the world in 3D. The client would like to be able to view any stage of an earthquake such as: 1. the build-up of the earthquake 2. the earthquake taking place 3. the aftershocks of the earthquake. The client would also like to be able to play the simulation at different speeds. For example, a slow, normal or fast speed.",453,"Tree structures and traversal methods (pre-order, in-order, post-order)."
49,Give three examples of where abstraction can be used in the design of this program. 1 ................................................................................................................................................ 2 ................................................................................................................................................ 3 ................................................................................................................................................ [3],465,Importance and methods of abstraction.
50,The program will need to accept inputs from the user before playing the simulation.,398,"Common input devices: keyboard, mouse, scanner."
51,(i) Identify two different inputs for this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,472,"Variables, data types, operators, expressions."
51,(i) Identify two different inputs for this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,473,Usage and syntax of IF and switch statements.
51,(i) Identify two different inputs for this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,474,"Loop structures (for, while, do-while)."
51,(i) Identify two different inputs for this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,475,Structure and calling of subroutines.
51,(i) Identify two different inputs for this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,476,Principles of recursion.
52,(ii) One decision point in the program will be to decide if the user inputs are suitable or not. Identify two other example decision points in this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,471,Section 11: Programming Techniques
52,(ii) One decision point in the program will be to decide if the user inputs are suitable or not. Identify two other example decision points in this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,472,"Variables, data types, operators, expressions."
52,(ii) One decision point in the program will be to decide if the user inputs are suitable or not. Identify two other example decision points in this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,473,Usage and syntax of IF and switch statements.
52,(ii) One decision point in the program will be to decide if the user inputs are suitable or not. Identify two other example decision points in this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,474,"Loop structures (for, while, do-while)."
52,(ii) One decision point in the program will be to decide if the user inputs are suitable or not. Identify two other example decision points in this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,475,Structure and calling of subroutines.
52,(ii) One decision point in the program will be to decide if the user inputs are suitable or not. Identify two other example decision points in this program. 1 ........................................................................................................................................ 2 ........................................................................................................................................,476,Principles of recursion.
53,Taylor is deciding which software development methodology to use to write the program. The client has stated that they would like the program as soon as possible and want to be heavily involved during the program creation.,411,"Methods for requirement collection and analysis: interviews, questionnaires, observations."
53,Taylor is deciding which software development methodology to use to write the program. The client has stated that they would like the program as soon as possible and want to be heavily involved during the program creation.,412,"Principles and representations of algorithms: pseudocode, flowcharts."
53,Taylor is deciding which software development methodology to use to write the program. The client has stated that they would like the program as soon as possible and want to be heavily involved during the program creation.,413,"Programming paradigms: procedural, object-oriented, functional."
54,(i) Describe the difference between the spiral model and the waterfall model. ......................................................................................................................................,410,Section 3: Software Development
55,(ii) Give two reasons why the waterfall model is not suitable for Taylor. 1 ......................................................................................................................................... 2 .........................................................................................................................................,471,Section 11: Programming Techniques
55,(ii) Give two reasons why the waterfall model is not suitable for Taylor. 1 ......................................................................................................................................... 2 .........................................................................................................................................,479,Section 12: Algorithms
56,(iii) Name and describe one other model of software development. Name  ................................................................................................................................. Description  ........................................................................................................................,485,"Types and applications of optimization algorithms (greedy, dynamic programming)."
57,"Nina is writing a computer game using an Integrated Development Environment (IDE). Her friend, James, is writing a computer game using a text-editor which will allow James to create and edit text. James will use a separate compiler. Discuss the differences between writing and debugging a program using an IDE and a text-editor. You should include the following in your answer: • features that are used when writing code • features that are used when debugging code • the benefits of using an IDE instead of a text-editor. ..................................................................................................................................................... [9]",471,Section 11: Programming Techniques
57,"Nina is writing a computer game using an Integrated Development Environment (IDE). Her friend, James, is writing a computer game using a text-editor which will allow James to create and edit text. James will use a separate compiler. Discuss the differences between writing and debugging a program using an IDE and a text-editor. You should include the following in your answer: • features that are used when writing code • features that are used when debugging code • the benefits of using an IDE instead of a text-editor. ..................................................................................................................................................... [9]",477,"Features of IDEs (editing, debugging, compiling)."
57,"Nina is writing a computer game using an Integrated Development Environment (IDE). Her friend, James, is writing a computer game using a text-editor which will allow James to create and edit text. James will use a separate compiler. Discuss the differences between writing and debugging a program using an IDE and a text-editor. You should include the following in your answer: • features that are used when writing code • features that are used when debugging code • the benefits of using an IDE instead of a text-editor. ..................................................................................................................................................... [9]",479,Section 12: Algorithms
58,"A function, toBinary(), is needed to calculate the binary value of a denary integer between 0 and 255. toBinary() needs to: • take an integer value as a parameter • divide the number by 2 repeatedly, storing a 1 if it has a remainder and a 0 if it doesn’t • combine the remainder values (first to last running right to left) to create the binary number • return the binary number. For example, to convert 25 to a binary number the steps are as follows:  6 / 2 = 3 remainder 0 3 / 2 = 1 remainder 1 1 / 2 = 0 remainder 1 return value = 11001",439,"Conversion between binary, decimal, and hexadecimal."
58,"A function, toBinary(), is needed to calculate the binary value of a denary integer between 0 and 255. toBinary() needs to: • take an integer value as a parameter • divide the number by 2 repeatedly, storing a 1 if it has a remainder and a 0 if it doesn’t • combine the remainder values (first to last running right to left) to create the binary number • return the binary number. For example, to convert 25 to a binary number the steps are as follows:  6 / 2 = 3 remainder 0 3 / 2 = 1 remainder 1 1 / 2 = 0 remainder 1 return value = 11001",441,Principles of binary addition and subtraction.
58,"A function, toBinary(), is needed to calculate the binary value of a denary integer between 0 and 255. toBinary() needs to: • take an integer value as a parameter • divide the number by 2 repeatedly, storing a 1 if it has a remainder and a 0 if it doesn’t • combine the remainder values (first to last running right to left) to create the binary number • return the binary number. For example, to convert 25 to a binary number the steps are as follows:  6 / 2 = 3 remainder 0 3 / 2 = 1 remainder 1 1 / 2 = 0 remainder 1 return value = 11001",445,"Bitwise operations (AND, OR, XOR, NOT)."
59,Write the function toBinary(). You should write your function using pseudocode or program code. .............................................................................................................................................. [6],439,"Conversion between binary, decimal, and hexadecimal."
60,"The main program: • asks the user to enter a denary number between 1 and 255 • checks that the input is valid between 1 and 255 • If valid call the function toBinary() and pass the input as a parameter • outputs the return value • If not valid, repeatedly asks the user to input a number until the number is valid. Write the algorithm for the main program. You should write your algorithm using pseudocode or program code. .............................................................................................................................................. [4]",439,"Conversion between binary, decimal, and hexadecimal."
60,"The main program: • asks the user to enter a denary number between 1 and 255 • checks that the input is valid between 1 and 255 • If valid call the function toBinary() and pass the input as a parameter • outputs the return value • If not valid, repeatedly asks the user to input a number until the number is valid. Write the algorithm for the main program. You should write your algorithm using pseudocode or program code. .............................................................................................................................................. [4]",445,"Bitwise operations (AND, OR, XOR, NOT)."
61,Layla writes a pseudocode algorithm to: • input 20 positive numbers into a 0-indexed 1-dimensional array • output the average (mean) number as a decimal • output the smallest number • output the largest number. The pseudocode algorithm is shown. It contains various errors.,472,"Variables, data types, operators, expressions."
61,Layla writes a pseudocode algorithm to: • input 20 positive numbers into a 0-indexed 1-dimensional array • output the average (mean) number as a decimal • output the smallest number • output the largest number. The pseudocode algorithm is shown. It contains various errors.,476,Principles of recursion.
61,Layla writes a pseudocode algorithm to: • input 20 positive numbers into a 0-indexed 1-dimensional array • output the average (mean) number as a decimal • output the smallest number • output the largest number. The pseudocode algorithm is shown. It contains various errors.,479,Section 12: Algorithms
61,Layla writes a pseudocode algorithm to: • input 20 positive numbers into a 0-indexed 1-dimensional array • output the average (mean) number as a decimal • output the smallest number • output the largest number. The pseudocode algorithm is shown. It contains various errors.,482,Principles and comparison of bubble and insertion sorts.
62,,392,"CPU components: ALU, Control Unit, Registers."
62,,393,Roles of each component in instruction execution.
62,,394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
62,,395,"Performance metrics: MIPS, FLOPS."
62,,396,"Processor types: CISC, RISC, GPU."
62,,397,Features and applications of each type.
63,(i) Identify the construct used on lines 01 to 03 in the algorithm. ......................................................................................................................................,479,Section 12: Algorithms
64,(ii) Identify the construct used on lines 10 to 12 in the algorithm. ......................................................................................................................................,479,Section 12: Algorithms
65,Identify two variables used in this algorithm. 1 ................................................................................................................................................ 2 ................................................................................................................................................ [2],472,"Variables, data types, operators, expressions."
65,Identify two variables used in this algorithm. 1 ................................................................................................................................................ 2 ................................................................................................................................................ [2],473,Usage and syntax of IF and switch statements.
66,The algorithm that Layla has written has many errors. Identify the line number of four different errors and write the corrected line of code. Error 1 line number ...................... Error 1 correction  ...................................................................................................................... Error 2 line number ...................... Error 2 correction  ...................................................................................................................... Error 3 line number ...................... Error 3 correction  ...................................................................................................................... Error 4 line number ...................... Error 4 correction  ...................................................................................................................... [4],479,Section 12: Algorithms
66,The algorithm that Layla has written has many errors. Identify the line number of four different errors and write the corrected line of code. Error 1 line number ...................... Error 1 correction  ...................................................................................................................... Error 2 line number ...................... Error 2 correction  ...................................................................................................................... Error 3 line number ...................... Error 3 correction  ...................................................................................................................... Error 4 line number ...................... Error 4 correction  ...................................................................................................................... [4],485,"Types and applications of optimization algorithms (greedy, dynamic programming)."
67,dataArray is defined as a local variable within the main program.,472,"Variables, data types, operators, expressions."
67,dataArray is defined as a local variable within the main program.,475,Structure and calling of subroutines.
67,dataArray is defined as a local variable within the main program.,476,Principles of recursion.
68,(i) State what is meant by a ‘local variable’. ......................................................................................................................................,472,"Variables, data types, operators, expressions."
69,(ii) Give one benefit and one drawback of declaring dataArray as a local variable in the main program. Benefit  ............................................................................................................................... Drawback  ..........................................................................................................................,472,"Variables, data types, operators, expressions."
69,(ii) Give one benefit and one drawback of declaring dataArray as a local variable in the main program. Benefit  ............................................................................................................................... Drawback  ..........................................................................................................................,474,"Loop structures (for, while, do-while)."
70,A program stores data in a 1-dimensional array.,446,Section 7: Data Structures
70,A program stores data in a 1-dimensional array.,447,Definitions and use cases of data structures.
70,A program stores data in a 1-dimensional array.,449,"Characteristics, advantages, and basic operations of linked lists."
70,A program stores data in a 1-dimensional array.,450,LIFO characteristics and operations (push/pop).
70,A program stores data in a 1-dimensional array.,451,Principles and collision resolution techniques.
71,The program needs to search the array for a number that is input by the user.,481,Linear and binary search methods and efficiency comparison.
72,(i) Describe how a linear search will search the data in the array for a number that has been input. ......................................................................................................................................,481,Linear and binary search methods and efficiency comparison.
73,(ii) State why you would use a linear search rather than a binary search. ......................................................................................................................................,481,Linear and binary search methods and efficiency comparison.
74,Describe how an array can be used to store and access data in a stack data structure. .............................................................................................................................................. [4] END OF QUESTION PAPER,447,Definitions and use cases of data structures.
74,Describe how an array can be used to store and access data in a stack data structure. .............................................................................................................................................. [4] END OF QUESTION PAPER,450,LIFO characteristics and operations (push/pop).
74,Describe how an array can be used to store and access data in a stack data structure. .............................................................................................................................................. [4] END OF QUESTION PAPER,451,Principles and collision resolution techniques.
